"代號","名稱","市場","股價日期","當日走勢","成交","漲跌價","漲跌幅","成交張數","成交額(百萬)","昨收","開盤","最高","最低","PER","PBR","一個月走勢圖","三個月走勢圖","半年走勢圖","一年走勢圖","三年走勢圖"
="8476","台境","櫃","06/23","    ","50.8","-0.3","-0.59%","65","3.31","51.1","50.8","51.2","50.8","39.4","2.36","    ","    ","    ","    ","    "
="8477","創業家","櫃","06/23","    ","48","-0.85","-1.74%","15","0.72","48.85","48.85","48.85","48","26.7","2.24","    ","    ","    ","    ","    "
="8489","三貝德","櫃","06/23","    ","155","0","0%","31","4.78","155","155.5","155.5","153","45.9","9.3","    ","    ","    ","    ","    "
="8905","裕國","櫃","06/23","    ","17.85","-0.25","-1.38%","815","14.7","18.1","18.1","18.15","17.85","4.93","0.83","    ","    ","    ","    ","    "
="8906","花王","櫃","06/23","    ","5.68","0","0%","0","0","5.68","5.68","5.68","5.68","","0.78","    ","    ","    ","    ","    "
="8908","欣雄","櫃","06/23","    ","29","-0.05","-0.17%","11","0.32","29.05","29","29","29","20.4","2.24","    ","    ","    ","    ","    "
="8913","全銓","櫃","06/23","    ","39.9","+1.05","+2.7%","1,485","58.7","38.85","38.9","40","38.9","17.6","0.96","    ","    ","    ","    ","    "
="8916","光隆","櫃","06/23","    ","44.7","-0.25","-0.56%","422","19.1","44.95","45","45.85","44.6","","1.78","    ","    ","    ","    ","    "
="8917","欣泰","櫃","06/23","    ","49.9","+0.1","+0.2%","3","0.15","49.8","49.75","49.9","49.75","34.4","3.23","    ","    ","    ","    ","    "
="8921","沈氏","櫃","06/23","    ","14.7","0","0%","0","0","14.7","14.7","14.7","14.7","23","0.82","    ","    ","    ","    ","    "
="8923","時報","櫃","06/23","    ","16.65","-0.1","-0.6%","9","0.15","16.75","16.65","16.65","16.65","18.9","1.16","    ","    ","    ","    ","    "
="8924","大田","櫃","06/23","    ","12","-0.1","-0.83%","46","0.56","12.1","12.1","12.1","12","","0.9","    ","    ","    ","    ","    "
="8927","北基","櫃","06/23","    ","8.86","+0.03","+0.34%","260","2.29","8.83","8.77","8.86","8.73","35.4","0.83","    ","    ","    ","    ","    "
="8928","鉅明","櫃","06/23","    ","20.6","-0.2","-0.96%","52","1.07","20.8","20.75","21.05","20.6","33.8","1.45","    ","    ","    ","    ","    "
="8929","富堡","櫃","06/23","    ","57.5","-0.5","-0.86%","253","14.7","58","59","59.5","57.5","11.5","2.16","    ","    ","    ","    ","    "
="8930","青鋼","櫃","06/23","    ","14.45","-0.05","-0.34%","130","1.88","14.5","14.5","14.55","14.45","5.33","0.87","    ","    ","    ","    ","    "
="8931","大汽電","櫃","06/23","    ","22.35","-0.05","-0.22%","112","2.5","22.4","22.25","22.35","22.25","33.4","1.55","    ","    ","    ","    ","    "
="8932","宏大","櫃","06/23","    ","7.77","+0.17","+2.24%","10","0.08","7.6","7.77","7.77","7.6","","0.89","    ","    ","    ","    ","    "
="8933","愛地雅","櫃","06/23","    ","10.55","0","0%","181","1.91","10.55","10.55","10.6","10.55","","0.68","    ","    ","    ","    ","    "
="8934","衡平","櫃","06/23","    ","52","+1","+1.96%","1","0.05","51","52","52","52","12.8","1.98","    ","    ","    ","    ","    "
="8935","邦泰","櫃","06/23","    ","5.46","-0.04","-0.73%","10","0.05","5.5","5.46","5.46","5.46","","0.94","    ","    ","    ","    ","    "
="8936","國統","櫃","06/23","    ","21.75","-0.15","-0.68%","425","9.27","21.9","22","22","21.65","","1.21","    ","    ","    ","    ","    "
="8937","合騏","櫃","06/23","    ","11.6","-0.05","-0.43%","77","0.89","11.65","11.6","11.65","11.6","","1.1","    ","    ","    ","    ","    "
="8938","明安","櫃","06/23","    ","32.05","-0.25","-0.77%","288","9.33","32.3","32.5","32.75","32.05","11.2","1.26","    ","    ","    ","    ","    "
="8941","關中","櫃","06/23","    ","69.4","-0.3","-0.43%","11","0.76","69.7","69.6","69.6","69","31.1","2.17","    ","    ","    ","    ","    "
="8942","森鉅","櫃","06/23","    ","67.2","+1.4","+2.13%","695","46.5","65.8","66","67.8","66","14.9","1.62","    ","    ","    ","    ","    "
="9949","琉園","櫃","06/23","    ","10","0","0%","117","1.17","10","10.2","10.2","10","","0.79","    ","    ","    ","    ","    "
="9950","萬國通","櫃","06/23","    ","13.5","-0.2","-1.46%","8","0.11","13.7","13.7","13.75","13.5","","0.89","    ","    ","    ","    ","    "
="9951","皇田","櫃","06/23","    ","178.5","0","0%","361","64","178.5","178.5","178.5","176.5","18.7","5.5","    ","    ","    ","    ","    "
="9960","邁達康","櫃","06/23","    ","34.3","-0.2","-0.58%","66","2.24","34.5","34.2","34.35","33.6","","2.68","    ","    ","    ","    ","    "
="9962","有益","櫃","06/23","    ","10.9","+0.1","+0.93%","24","0.26","10.8","10.85","10.9","10.8","10","0.96","    ","    ","    ","    ","    "
