"代號","名稱","市場","股價日期","當日走勢","成交","漲跌價","漲跌幅","成交張數","成交額(百萬)","昨收","開盤","最高","最低","PER","PBR","一個月走勢圖","三個月走勢圖","半年走勢圖","一年走勢圖","三年走勢圖"
="3023","信邦","市","06/23","    ","70.6","+0.5","+0.71%","412","29","70.1","70.3","70.6","70.3","14.1","2.75","    ","    ","    ","    ","    "
="3024","憶聲","市","06/23","    ","7.71","-0.22","-2.77%","1,362","10.5","7.93","7.99","8","7.6","2.6","0.78","    ","    ","    ","    ","    "
="3025","星通","市","06/23","    ","15.95","+1.05","+7.05%","3,747","58.7","14.9","15","16.1","14.8","199","1.49","    ","    ","    ","    ","    "
="3026","禾伸堂","市","06/23","    ","41.2","-0.05","-0.12%","1,149","47.5","41.25","41.3","41.7","41.05","19.3","1.11","    ","    ","    ","    ","    "
="3027","盛達","市","06/23","    ","12.7","0","0%","81","1.02","12.7","12.8","12.8","12.55","","0.82","    ","    ","    ","    ","    "
="3028","增你強","市","06/23","    ","18.85","+0.05","+0.27%","292","5.5","18.8","18.8","18.85","18.75","16","0.84","    ","    ","    ","    ","    "
="3029","零壹","市","06/23","    ","17.55","-0.25","-1.4%","269","4.75","17.8","17.85","17.85","17.55","9.97","1.05","    ","    ","    ","    ","    "
="3030","德律","市","06/23","    ","38.15","-0.15","-0.39%","109","4.16","38.3","38.3","38.4","38.1","22.6","1.74","    ","    ","    ","    ","    "
="3031","佰鴻","市","06/23","    ","16.55","-0.15","-0.9%","473","7.88","16.7","16.8","16.85","16.55","15.9","1.14","    ","    ","    ","    ","    "
="3032","偉訓","市","06/23","    ","47.05","-0.6","-1.26%","951","44.9","47.65","48","48.05","46.95","14.4","2.39","    ","    ","    ","    ","    "
="3033","威健","市","06/23","    ","17.45","0","0%","379","6.62","17.45","17.45","17.55","17.45","15","1.08","    ","    ","    ","    ","    "
="3034","聯詠","市","06/23","    ","123.5","-0.5","-0.4%","674","83.3","124","124","124","123","16","2.61","    ","    ","    ","    ","    "
="3035","智原","市","06/23","    ","38.95","-0.65","-1.64%","3,904","152","39.6","39.55","39.55","38.7","13.2","1.74","    ","    ","    ","    ","    "
="3036","文曄","市","06/23","    ","45.15","+0.25","+0.56%","812","36.6","44.9","44.9","45.2","44.85","11.8","1.28","    ","    ","    ","    ","    "
="3037","欣興","市","06/23","    ","18","-0.3","-1.64%","7,375","134","18.3","18.3","18.4","18","81.8","0.64","    ","    ","    ","    ","    "
="3038","全台","市","06/23","    ","9.71","-0.03","-0.31%","100","0.97","9.74","9.72","9.74","9.71","18.3","0.88","    ","    ","    ","    ","    "
="3040","遠見","市","06/23","    ","47.9","+0.8","+1.7%","1,061","50.6","47.1","47.8","47.95","47.3","4.02","1.42","    ","    ","    ","    ","    "
="3041","揚智","市","06/23","    ","15.95","-0.25","-1.54%","877","14.1","16.2","16.3","16.3","15.85","","1","    ","    ","    ","    ","    "
="3042","晶技","市","06/23","    ","44.85","+0.05","+0.11%","943","42.2","44.8","44.8","44.95","44.55","12.5","1.46","    ","    ","    ","    ","    "
="3043","科風","市","06/23","    ","2.7","+0.02","+0.75%","91","0.25","2.68","2.65","2.7","2.65","","6.28","    ","    ","    ","    ","    "
="3044","健鼎","市","06/23","    ","95.9","-0.1","-0.1%","1,650","158","96","96.2","97.2","95.3","13.2","1.75","    ","    ","    ","    ","    "
="3045","台灣大","市","06/23","    ","114.5","-0.5","-0.43%","1,946","223","115","115","115","114","20.1","4.83","    ","    ","    ","    ","    "
="3046","建碁","市","06/23","    ","4.21","-0.14","-3.22%","13","0.05","4.35","4.35","4.4","4.11","","1.07","    ","    ","    ","    ","    "
="3047","訊舟","市","06/23","    ","10.8","-0.05","-0.46%","181","1.96","10.85","10.9","10.95","10.8","108","0.92","    ","    ","    ","    ","    "
="3048","益登","市","06/23","    ","16.75","+0.1","+0.6%","777","13.1","16.65","16.9","16.9","16.75","14.1","1.2","    ","    ","    ","    ","    "
="3049","和鑫","市","06/23","    ","10.05","-0.1","-0.99%","1,985","20","10.15","10.1","10.2","10.05","","1.04","    ","    ","    ","    ","    "
="3050","鈺德","市","06/23","    ","9.79","+0.42","+4.48%","1,315","12.7","9.37","9.4","9.8","9.38","15.8","0.65","    ","    ","    ","    ","    "
="3051","力特","市","06/23","    ","4.06","-0.01","-0.25%","606","2.46","4.07","4.07","4.1","4.05","","0.8","    ","    ","    ","    ","    "
="3052","夆典","市","06/23","    ","9.08","0","0%","139","1.27","9.08","9.08","9.12","9.07","41.3","0.64","    ","    ","    ","    ","    "
="3054","立萬利","市","06/23","    ","20.1","-0.25","-1.23%","101","2.04","20.35","20.4","20.45","20.1","27.9","1.45","    ","    ","    ","    ","    "
="3055","蔚華科","市","06/23","    ","17.55","-0.15","-0.85%","269","4.76","17.7","17.7","17.8","17.45","18.7","0.67","    ","    ","    ","    ","    "
="3056","總太","市","06/23","    ","21.15","-0.1","-0.47%","2,254","47.8","21.25","21.25","21.3","21.1","4.83","1.01","    ","    ","    ","    ","    "
="3057","喬鼎","市","06/23","    ","13.65","+0.3","+2.25%","454","6.15","13.35","13.35","13.65","13.35","","1.29","    ","    ","    ","    ","    "
="3058","立德","市","06/23","    ","10.2","-0.1","-0.97%","108","1.1","10.3","10.2","10.25","10.15","20.8","0.69","    ","    ","    ","    ","    "
="3059","華晶科","市","06/23","    ","24.9","-0.2","-0.8%","2,563","64.1","25.1","25.1","25.3","24.85","50.8","0.79","    ","    ","    ","    ","    "
="3060","銘異","市","06/23","    ","29.65","-0.3","-1%","558","16.6","29.95","30","30.1","29.6","22.3","1.17","    ","    ","    ","    ","    "
="3062","建漢","市","06/23","    ","20.25","+0.05","+0.25%","1,836","37.6","20.2","20.2","20.75","20.1","27","1.17","    ","    ","    ","    ","    "
="3090","日電貿","市","06/23","    ","30.55","+0.55","+1.83%","1,992","60.9","30","30.2","30.85","30.1","11.5","1.61","    ","    ","    ","    ","    "
="3094","聯傑","市","06/23","    ","23.65","-0.25","-1.05%","549","13","23.9","23.75","24","23.6","33.3","1.61","    ","    ","    ","    ","    "
="3130","一零四","市","06/23","    ","163.5","-0.5","-0.3%","13","2.18","164","163.5","165","163","17.7","3.32","    ","    ","    ","    ","    "
="3149","正達","市","06/23","    ","20.15","-0.15","-0.74%","809","16.3","20.3","20.45","20.45","20.05","","2.74","    ","    ","    ","    ","    "
="3164","景岳","市","06/23","    ","21.9","-0.05","-0.23%","236","5.17","21.95","22","22.1","21.8","","1.53","    ","    ","    ","    ","    "
="3167","大量","市","06/23","    ","32.3","+0.2","+0.62%","39","1.25","32.1","32.5","32.5","32.15","17.6","1.71","    ","    ","    ","    ","    "
="3189","景碩","市","06/23","    ","79.6","-0.1","-0.13%","2,194","175","79.7","79.6","80","79.2","19.1","1.23","    ","    ","    ","    ","    "
="3209","全科","市","06/23","    ","25.6","0","0%","128","3.27","25.6","25.6","25.7","25.4","13.8","1.62","    ","    ","    ","    ","    "
="3229","晟鈦","市","06/23","    ","24","-0.5","-2.04%","3,106","72.9","24.5","24.5","24.5","22.05","","2.8","    ","    ","    ","    ","    "
="3231","緯創","市","06/23","    ","31.7","+0.8","+2.59%","25,675","812","30.9","31.2","31.9","31.15","25.8","1.25","    ","    ","    ","    ","    "
="3257","虹冠電","市","06/23","    ","38.1","-0.2","-0.52%","203","7.76","38.3","38.3","38.5","38","24.3","1.56","    ","    ","    ","    ","    "
